store_nbr,family,model_name,rmsle,mae,pred_mean,pred_variance
36,BABY CARE,Global_LightGBM,0.08453364401076925,0.08628753400850869,0.08628753400850869,0.00040604054128258574
36,BEAUTY,Global_LightGBM,0.40640838308901506,0.6464019687176406,1.279667638278304,0.42166280650928384
36,BEVERAGES,Global_LightGBM,0.5068293319179072,1441.990992008809,2588.9423413245245,179077.1945890054
36,BOOKS,Global_LightGBM,0.011621416229994682,0.011676336243995005,0.011676336243995005,3.2801337187391114e-07
36,BREAD/BAKERY,Global_LightGBM,0.31753080749748197,133.74690983727243,460.16865626438613,6915.201388793689
36,CELEBRATION,Global_LightGBM,0.4779752862690527,4.233264568123387,7.0243667538327115,3.141320914608272
36,CLEANING,Global_LightGBM,0.27737155282496956,171.78184011723317,842.4778563577933,19118.894146184593
36,DAIRY,Global_LightGBM,0.17847223051709146,85.64587853308313,608.902606252809,10111.87304456711
36,DELI,Global_LightGBM,0.22164075258704746,34.565422667984166,214.65056458366993,1097.0210054755266
36,EGGS,Global_LightGBM,0.3238133464866335,41.498044247157544,137.61681448389183,461.2816839778828
36,FROZEN FOODS,Global_LightGBM,0.4695589857702155,38.60353717116796,81.95309064152487,912.6403885506617
36,GROCERY I,Global_LightGBM,0.2924535831445054,794.6320257214117,3423.7382377196823,293650.04074677627
36,GROCERY II,Global_LightGBM,1.2869987268037202,7.825177408090621,2.8109401164704724,4.148096336633395
36,HARDWARE,Global_LightGBM,0.4182038984018703,0.581238868107917,0.48508665804822954,0.010993292519848569
36,HOME AND KITCHEN I,Global_LightGBM,0.9017660482682807,25.093199970043052,15.364488160189127,8.171869685653062
36,HOME AND KITCHEN II,Global_LightGBM,0.5573311599735908,5.114267519984515,9.14350127168614,3.664907069664192
36,HOME APPLIANCES,Global_LightGBM,0.2043939089507323,0.20678647233751277,0.15930001073088143,0.0005500021169928298
36,HOME CARE,Global_LightGBM,0.26203787408600643,38.9175591076254,199.72494485979234,1227.1470253804289
36,LADIESWEAR,Global_LightGBM,0.0687735242030739,0.07107934748548993,0.07107934748548993,1.9434821631425284e-05
36,LAWN AND GARDEN,Global_LightGBM,0.603849669407753,10.273828976045504,24.75698593469963,34.402321631335475
36,LINGERIE,Global_LightGBM,0.7378842901834026,2.7104921025445745,2.410199667193795,0.3472763963376619
36,"LIQUOR,WINE,BEER",Global_LightGBM,0.5087675260790265,31.319328600533503,49.73758938457816,346.42035788675565
36,MAGAZINES,Global_LightGBM,0.5658344585228752,1.0131271088844416,0.7075951230460955,0.019540820818549694
36,MEATS,Global_LightGBM,0.2866429884068138,63.93152762184333,215.27228319236696,1876.0277099968005
36,PERSONAL CARE,Global_LightGBM,0.34260608283916333,55.732475606018824,189.10045502829496,1426.1409965659482
